name,group,ok,r_bar,coverage,n_r,n_dr,r_min,r_max,r_sd,r_p25,r_p75,dr_min,dr_max,dr_sd,dr_p25,dr_p75,err
roundabout_PCG_600,PCG,1,11.200511528994028,1.0,142,142,10.451741606542269,11.989944790303442,0.4112178293132501,10.919540389499582,11.60634240275557,-0.09001746566304014,0.11597850065591331,0.047810312623699704,-0.030352152530656262,0.028897896256161903,
roundabout_PCG_601,PCG,1,10.900428862724493,1.0,138,138,9.96618196732378,11.715931498469313,0.49687594329464785,10.482495560021587,11.27553321025367,-0.09144149739598184,0.1256257701754091,0.05946797534798249,-0.04286256759377194,0.03729258524382306,
roundabout_PCG_602,PCG,1,11.087485082620134,1.0,140,140,10.471241081269659,11.734269956546283,0.3188629211690917,10.854089084908333,11.358185340059784,-0.06867575960076167,0.08266323710213186,0.03832706424575108,-0.02994987588803255,0.023240516886988694,
roundabout_PCG_603,PCG,1,10.958594412488427,1.0,138,138,10.539038087582608,11.532449579771969,0.26510321937076975,10.749041269189316,11.167030878630317,-0.06734669438862184,0.06752125214879179,0.03515488365145855,-0.023352430152085102,0.0272375924137207,
roundabout_PCG_604,PCG,1,10.960900124733914,1.0,139,139,9.955821861392973,11.845005975588565,0.47679613893190237,10.607176854948161,11.227898945683657,-0.13471597557727932,0.12273863036355692,0.06803207770366689,-0.046164683643657334,0.05742053123165736,
roundabout_PCG_605,PCG,1,11.224173092392839,1.0,142,142,10.31448143474328,12.229933413110723,0.5005139381385245,10.816333761020068,11.626827581495169,-0.11945493224522963,0.07941894521695403,0.05210608986545272,-0.03705675585742929,0.03455063688100246,
roundabout_PCG_606,PCG,1,11.207480983458959,1.0,142,142,10.639751842008547,11.819317230288858,0.330381298570159,10.88551050844142,11.424794303977036,-0.13365648808811237,0.09728622629806516,0.05228890353661439,-0.03446953692801813,0.03817025188403944,
roundabout_PCG_607,PCG,1,11.1079173554783,1.0,141,141,10.449370364457273,11.714995112571817,0.33571270054871266,10.8745996802832,11.373125885957561,-0.06960810156562935,0.10816843598714598,0.04743938545267416,-0.03688546144066507,0.03681344261590702,
roundabout_PCG_608,PCG,1,10.884074823331957,1.0,138,138,10.093452120257403,11.679580638224287,0.41746734824661613,10.546854491297303,11.241211548954526,-0.11410151212411535,0.09766559200061309,0.05762448923556709,-0.05087413510058569,0.04702501757295474,
roundabout_PCG_609,PCG,1,11.217244607435907,1.0,142,142,10.656609592944278,11.950558237029517,0.35190605298240374,10.906796065486363,11.507311732566023,-0.06697552550878605,0.12212645324236782,0.04883304708251737,-0.0345340415828157,0.035252998687288706,
